"NAME","FULLNAME","POPULATION2010","NRLANGUAGES2010","COLOR","tooltip","POPULATION2011"
"AUS","Australia",75476.53679,3.18247e-06,"#0050fe","Australia
Exports: 75476.53679",46355.9378484627
"MMR","Myanmar",70522.54113,0,"#0050ff","Myanmar
Exports: 70522.54113",43313.3086462848
"FRO","Faeroe Islands",66720.03262,0,"#0050ff","Faeroe Islands
Exports: 66720.03262",40977.8961372524
"NZL","New Zealand",65736.0413,2.77177e-06,"#0050fe","New Zealand
Exports: 65736.0413",40373.5514970066
"SYR","Syria",61605.35423,2.59759e-06,"#0050ff","Syria
Exports: 61605.35423",37836.5793301313
"MDG","Madagascar",60855.09389,2.56596e-06,"#0050ff","Madagascar
Exports: 60855.09389",37375.7868352667
"ETH","Ethiopia",47904.08995,2.01988e-06,"#0050ff","Ethiopia
Exports: 47904.08995",29421.5806772892
"BLR","Belarus",47190,1.98977e-06,"#0050ff","Belarus
Exports: 47190",28983.0031968132
"PAN","Panama",40248.37842,0,"#0050ff","Panama
Exports: 40248.37842",24719.6202672898
"BHR","Bahrain",25281.2689,0,"#0050ff","Bahrain
Exports: 25281.2689",15527.1688355201
"TJK","Tajikistan",23073.97895,9.72916e-07,"#0050ff","Tajikistan
Exports: 23073.97895",14171.5025571318
"UGA","Uganda",21855.51016,0,"#0050ff","Uganda
Exports: 21855.51016",13423.1472946655
"VEN","Venezuela, Bolivarian Republic of",21695.29699,9.14784e-07,"#0050ff","Venezuela, Bolivarian Republic of
Exports: 21695.29699",13324.7480825807
"PHL","Philippines",21206.9,8.94191e-07,"#0050ff","Philippines
Exports: 21206.9",13024.785982083
"GHA","Ghana",20458.77869,0,"#0050ff","Ghana
Exports: 20458.77869",12565.3072298191
"MLT","Malta",20130,8.48783e-07,"#0050ff","Malta
Exports: 20130",12363.3789860532
"SWZ","Swaziland",19936.89852,0,"#0050ff","Swaziland
Exports: 19936.89852",12244.7805369718
"LAO","Lao P.D.R.",17915.31885,0,"#0050ff","Lao P.D.R.
Exports: 17915.31885",11003.1732041
"TKM","Turkmenistan",17697.65881,0,"#0050ff","Turkmenistan
Exports: 17697.65881",10869.4914572227
"NGA","Nigeria",13251.35495,0,"#0050ff","Nigeria
Exports: 13251.35495",8138.67478020674
"AZE","Azerbaijan",12683,5.3478e-07,"#0050ff","Azerbaijan
Exports: 12683",7789.60435569361
"NAM","Namibia",12582.48713,0,"#0050ff","Namibia
Exports: 12582.48713",7727.87168282794
"WLF","Wallis and Futuna Islands",12096.92248,0,"#0050ff","Wallis and Futuna Islands
Exports: 12096.92248",7429.64913984829
"GEO","Georgia",10876.221,0,"#0050ff","Georgia
Exports: 10876.221",6679.92261098213
"CIV","C“te d'Ivoire",10685.55674,0,"#0050ff","C“te d'Ivoire
Exports: 10685.55674",6562.82104588151
"MRT","Mauritania",9559.07801,0,"#0050ff","Mauritania
Exports: 9559.07801",5870.96394410715
"BHS","Bahamas",6902.775281,0,"#0050ff","Bahamas
Exports: 6902.775281",4239.52443390773
"SAU","Saudi Arabia",6350.382901,0,"#0050ff","Saudi Arabia
Exports: 6350.382901",3900.25784955861
"GNB","Guinea Bissau",4783.448659,0,"#0050ff","Guinea Bissau
Exports: 4783.448659",2937.8831908368
"MDV","Maldives",4588.257685,0,"#0050ff","Maldives
Exports: 4588.257685",2818.00142301669
"NPL","Nepal",3204.662296,0,"#0050ff","Nepal
Exports: 3204.662296",1968.22923436479
"OMN","Oman",3062.161581,1.29116e-07,"#0050ff","Oman
Exports: 3062.161581",1880.70860121385
"MAC","China, Macao SAR",2827.820783,0,"#0050ff","China, Macao SAR
Exports: 2827.820783",1736.78191976486
"GRL","Greenland",2728.199963,0,"#0050ff","Greenland
Exports: 2728.199963",1675.59712331372
"AGO","Angola",2717.079371,0,"#0050ff","Angola
Exports: 2717.079371",1668.76711370392
"KWT","Kuwait",2526.071188,0,"#0050ff","Kuwait
Exports: 2526.071188",1551.45431907569
"AFG","Afghanistan",2344.199711,0,"#0050ff","Afghanistan
Exports: 2344.199711",1439.753077302
